terms,valence,arousal
"['saw', 'came', 'birthday', 'wished', 'nothing', 'win', 'guess', 'makes', 'way', 'sense', 'guys', 'nuts', 'go', 'opinion', 'right', 'suck', 'balls', 'go', 'complete', 'rich', 'famous', 'time', 'way', 'go', 'best', 'great', 'supporters']",4.907430076672509,5.941121548071463
"['respect', 'criminal', 'lamb', 'plain', 'mean', 'sites', 'happened', 'cause', 'wait', 'lines', 'mile', 'grim', 'grim', 'supports', 'wants', 'wants', 'really', 'really', 'write', 'happens', 'justice', 'blocked', 'released', 'really', 'true', 'double', 'support', 'form', 'door']",4.506688410065538,5.000160632996945
"['love', 'video', 'time', 'see', 'still', 'makes', 'cry', 'joy', 'one', 'persons', 'life', 'thanks', 'political', 'started', 'getting', 'ready', 'run', 'congress']",4.496322030734333,6.016107766699764
"['sad', 'see', 'gone', 'shit', 'campaign', 'start']",5.1934605793836415,4.344253533538932
"['one', 'people', 'congress', 'consistency', 'decent', 'running', 'president', 'beginning', 'intelligent', 'sensible', 'resort', 'fighting', 'time', 'posting', 'fear', 'lost', 'party', 'thanks', 'super', 'still', 'occur', 'doubt']",4.530041405748952,5.613347308963593
"['like', 'white', 'mean', 'campaign', 'made', 'choice', 'situation']",4.491471291667578,5.566160781948927
"['like', 'like', 'like']",4.4,7.4399999999999995
"['day', 'one', 'support', 'looks', 'like', 'make', 'good', 'near', 'certainty', 'jump', 'bandwagon', 'one', 'best', 'arguments', 'wary', 'still', 'hope', 'defeat', 'wishful', 'thinking', 'chance', 'party', 'corporate', 'bound', 'happen', 'deep', 'knew', 'even', 'immortal', 'words', 'revolting', 'turned', 'accomplished']",4.564119568100657,5.812583587963614
"['found', 'video', 'allows', 'comments', 'fuck']",5.037341813432063,6.007727435528563
"['think', 'guys', 'president']",4.058296748210619,6.2789956474306345
"['made', 'white', 'people']",5.20702211027148,6.01407061702919
"['great', 'video', 'better', 'taste', 'music', 'crap', 'fight', 'song', 'swear', 'worst', 'pop', 'garbage', 'even', 'know', 'sings', 'music', 'taste', 'superior']",4.625257747905942,5.761654959253126
"['horrible', 'person', 'president']",4.096948239921628,4.954564626698243
"['please', 'explain']",4.905222437137331,5.859337748344371
"['excuse', 'mind', 'going', 'fuck', 'pig']",5.156691977900214,5.195841119640267
"['got', 'anger', 'issues', 'corporate', 'fascist', 'like', 'assume', 'fascist', 'supporter', 'logic']",4.9178661574283655,4.865572772364525
"['pal', 'times', 'generation', 'got', 'pick', 'stupid', 'outdated', 'ideas', 'world', 'single', 'free', 'education', 'training', 'vacation', 'parental', 'leave', 'happy', 'right', 'got', 'pay', 'allowed', 'join', 'unions', 'one', 'one', 'greed', 'want', 'first', 'know', 'middle', 'class', 'tell', 'people', 'eliminated', 'unemployment', 'benefits', 'welfare', 'food', 'bother']",4.781004315307325,5.865512266869561
"['free', 'education', 'paying', 'education', 'pay', 'taxes', 'bills', 'wake', 'called', 'perfect', 'life', 'think', 'realism', 'future', 'trust', 'man', 'know', 'cause', 'downfall']",4.589910394315414,5.7697873833867845
"['greed', 'wants', 'take', 'money', 'give', 'middle', 'class', 'get', 'rich', 'take', 'money', 'great', 'idea', 'go', 'debt', 'logic']",5.197109897728393,5.632117178874946
"['go', 'fight']",5.596528066528066,5.2474691358024685
"['cowardly', 'even', 'comments', 'new', 'video', 'pushing', 'bullshit', 'lies']",5.365499377980191,4.953159156292096
"['drop', 'hope', 'country', 'fuck', 'fuck', 'woman', 'charge', 'country']",5.265869583301423,5.609141394085357
"['old', 'going', 'die', 'officer', 'old']",5.222101295808423,3.9102125656370665
"['sad', 'great', 'first', 'success', 'time', 'turn', 'left', 'campaign', 'fall', 'help', 'running', 'office', 'party', 'might', 'take', 'congress', 'senate', 'back', 'thanks']",4.783166120695641,5.2924498317186295
"['please', 'start', 'home', 'biggest', 'turn', 'blue', 'party', 'domination', 'congress', 'collapse']",4.694879727257585,5.478377092125524
"['lost', 'cause', 'second', 'coming', 'come', 'hand', 'hand']",5.764117397389512,4.865197581757803
"['get', 'drop', 'want', 'sexist']",4.719862902896664,4.984163929852938
"['get', 'damn']",5.050198511166253,4.559373040752352
"['believe', 'right', 'stay', 'opposition', 'facing']",4.142067712437493,5.7320456958520065
"['child', 'think', 'run', 'fantastic', 'campaign', 'time', 'push', 'party', 'unity', 'great', 'values', 'live', 'like', 'close', 'becoming', 'time', 'great']",5.250467486037322,6.707483961668703
"['feet', 'grovel', 'feet']",3.3933442622950825,4.803567567567568
"['think', 'impossible', 'hate']",4.858522338830586,3.908001790109644
"['look', 'like', 'dislike', 'single', 'likes', 'make', 'worse', 'allow', 'comments', 'winning']",5.020976981804917,5.808038999184997
"['wishes', 'run', 'knew', 'turn', 'time', 'lesson', 'learn']",5.042589043261192,6.02207855778183
"['done', 'steal', 'way', 'treated', 'supporters', 'run', 'party', 'keep', 'promise', 'fair', 'honest', 'primary', 'deserve', 'absolutely', 'break', 'promise', 'corrupt', 'run', 'independent', 'green', 'way', 'ensure', 'run', 'beat', 'supporters', 'party', 'supporters', 'flip', 'wont', 'get', 'movement', 'playing', 'corrupt', 'supporters', 'allowed', 'able', 'beating', 'right', 'cheated', 'run', 'corruption', 'win', 'time']",4.94735107475636,5.751649092659892
"['donate', 'dollars', 'going', 'might', 'well', 'money']",5.373209558607643,6.448202483915645
"['think', 'listen', 'support']",3.514650520738023,6.829609569288608
"['look', 'meeting', 'near', 'future', 'see', 'work', 'defeat', 'create', 'government', 'represents', 'us']",4.685293240771514,5.809629495644448
"['sexist', 'realize', 'risk', 'time', 'fall', 'line', 'support']",4.825590535050878,4.900538261562777
"['help', 'supporting', 'working', 'class', 'people', 'middle', 'people', 'explain', 'first', 'watched', 'politics', 'care', 'president', 'wanted', 'time', 'people', 'big', 'money', 'puts', 'people', 'office', 'making', 'hard', 'president', 'back', 'support', 'us', 'working', 'class', 'wanting', 'wage', 'bucks', 'understand', 'us', 'salary', 'works', 'works', 'works', 'supporters', 'right', 'working', 'want', 'support', 'guarantee', 'drive', 'polls', 'one', 'following', 'tired', 'win', 'know', 'leave', 'work', 'extra', 'extra', 'money', 'biggest', 'supporters', 'work', 'help', 'help', 'us', 'help']",4.62626579751353,5.952000569227956
"['love', 'one', 'hell', 'ride', 'keep', 'faith', 'force']",4.494194239432662,5.81036534390479
"['end', 'ride', 'still', 'us', 'stop']",4.631278873077697,5.40290347695261
"['agree', 'looks', 'like', 'wont', 'one']",3.949907312705009,5.97907441082527
"['amazing', 'comments', 'disabled', 'funny', 'see', 'support', 'person', 'support', 'enthusiasm', 'man', 'true', 'inspiration', 'hate', 'comes', 'bigotry', 'found', 'grows', 'great', 'old', 'men', 'plant', 'trees', 'shade', 'know', 'sit', 'happy', 'somebody', 'fighting', 'us', 'turn', 'fight', 'values', 'dying', 'breath']",4.648689213336116,5.7194597047114755
"['dear', 'know', 'see', 'open', 'letter', 'hope', 'person', 'young', 'nave', 'educated', 'campaign', 'primary', 'one', 'done', 'know', 'even', 'get', 'screaming', 'give', 'throw', 'support', 'one', 'supporters', 'please', 'try', 'character', 'names', 'call', 'easy', 'support', 'ill', 'tell', 'ignored', 'use', 'personal', 'us', 'regular', 'people', 'places', 'employment', 'lose', 'face', 'charges', 'similar', 'get', 'pass', 'rich', 'powerful', 'claims', 'ignorance', 'hide', 'illegal', 'unethical', 'activities', 'foundation', 'someone', 'high', 'government', 'held', 'standard', 'lower', 'used', 'political', 'important', 'issues', 'political', 'serve', 'corporate', 'banking', 'interests', 'even', 'harm', 'middle', 'plenty', 'reasons', 'stop', 'important', 'bogus', 'notion', 'party', 'opposition', 'trust', 'believe', 'believe', 'invest', 'education', 'country', 'important', 'employment', 'fight', 'growing', 'ignorance', 'people', 'biggest', 'important', 'asset', 'believe', 'access', 'believe', 'true', 'democracy', 'keep', 'supporting', 'believe', 'keep', 'movement', 'going', 'sake', 'country', 'willing', 'write', 'come', 'give', 'tell', 'us', 'write', 'last', 'trouble', 'clean', 'feeling', 'left', 'place', 'please', 'consider', 'running', 'party', 'run', 'even', 'lost', 'person', 'followed', 'end', 'small', 'supporter']",4.562646704763348,5.698601906616079
"['remember', 'described', 'political', 'conversation', 'left', 'good', 'old', 'like']",3.7155169767268066,5.886390323310145
"['young', 'people']",5.9248979591836735,6.150135869565217
"['think', 'young', 'people', 'access', 'information', 'making', 'good', 'use']",4.466295573051379,6.486994660410742
"['listen', 'get', 'violence', 'events', 'kicked', 'ass']",4.267536876174593,4.913230920437786
"['grow', 'get']",3.092313829787234,6.17172602739726
"['funny', 'sort', 'comments', 'makes', 'support', 'sorry']",4.672264338724964,5.662459873783003
"['well', 'go', 'tell', 'party', 'close', 'doors', 'stop', 'called', 'progressive', 'like', 'center', 'right', 'wing', 'taking', 'big', 'money', 'contributions', 'well', 'get', 'united', 'move', 'public', 'founding', 'contributions', 'make', 'real', 'progressive', 'still', 'really', 'right', 'respond']",4.674044530956545,6.161098529694844
"['support', 'throw', 'green', 'party', 'give', 'shit']",4.865603893626989,6.34409355803593
"['got', 'liar', 'criminal', 'win', 'primary']",5.582891839006373,4.298898740954323
"['thank', 'goodness', 'adults', 'put', 'embarrassing', 'party', 'corner']",4.857074331667184,5.75005619856077
"['qualities', 'person', 'appeal']",3.9192054269370153,6.582317150785366
"['winning', 'losers']",6.455052854122621,6.312696245733787
"['winner', 'high', 'ratings', 'winning']",6.702411780308315,7.101426742936603
